State,Education Spending,Mental Health Spending,Total Spending
Alabama,6200000000,381525000,25435000000
Alaska,1400000000,211890000,10090000000
Arizona,7100000000,1983696000,41327000000
Arkansas,3200000000,171766000,24538000000
California,36000000000,8446688000,263959000000
Colorado,6900000000,611028000,33946000000
Connecticut,4100000000,781340000,27905000000
Delaware,1900000000,102770000,10277000000
Florida,11200000000,885995000,80545000000
Georgia,8200000000,917358000,48282000000
Hawaii,3400000000,223744000,13984000000
Idaho,1200000000,70432000,8804000000
Illinois,8600000000,980385000,65359000000
Indiana,7600000000,578196000,32122000000
Iowa,3400000000,532036000,23132000000
Kansas,3000000000,404846000,15571000000
Kentucky,6300000000,303750000,33750000000
Louisiana,4300000000,317060000,31706000000
Maine,1000000000,455672000,8137000000
Maryland,5700000000,1247595000,40245000000
Massachussetts,7100000000,705300000,58775000000
Michigan,11700000000,1415882000,54457000000
Minnesota,6700000000,1162200000,38740000000
Mississippi,2800000000,361573000,21269000000
Missouri,4300000000,634625000,25385000000
Montana,1000000000,243495000,6957000000
Nebraska,2200000000,201722000,11866000000
Nevada,2100000000,357561000,13243000000
New Hampshire,1200000000,217782000,5886000000
New Jersey,10800000000,2220872000,58444000000
New Mexico,2700000000,350170000,18430000000
New York,12800000000,5950737000,152583000000
North Carolina,10100000000,1106976000,46124000000
North Dakota,1200000000,79222000,7202000000
Ohio,11000000000,1248053000,65687000000
Oklahoma,4800000000,228720000,22872000000
Orgeon,5000000000,1077354000,39902000000
Pennsylvania,13100000000,4495680000,80280000000
Rhode Island,1100000000,128814000,9201000000
South Carolina,6100000000,319449000,24573000000
South Dakota,800000000,79971000,4209000000
Tennessee,5000000000,641155000,33745000000
Texas,28200000000,1491780000,124315000000
Utah,4800000000,252705000,14865000000
Vermont,1200000000,187272000,5508000000
Virginia,9100000000,838780000,49340000000
Washington,8800000000,9892760000,43012000000
West Virginia,2300000000,127432000,15929000000
Wisconsin,5400000000,704880000,46992000000
Wyoming,900000000,55462000,5042000000
