State,Graduation Rate Percent
Alabama,89.3
Alaska,78.2
Arizona,78
Arkansas,88
California,82.7
Colorado,79.1
Connecticut,87.9
Delaware,86.9
Florida,82.3
Georgia,80.6
Hawaii,82.7
Idaho,79.7
Illinois,87
Indiana,83.8
Iowa,91
Kansas,86.5
Kentucky,89.7
Louisiana,78.1
Maine,86.9
Maryland,87.7
Massachussetts,88.3
Michigan,80.2
Minnesota,82.7
Mississippi,83
Missouri,88.3
Montana,85.8
Nebraska,89.1
Nevada,80.9
New Hampshire,88.9
New Jersey,90.5
New Mexico,71.1
New York,81.8
North Carolina,86.6
North Dakota,87.2
Ohio,84.2
Oklahoma,82.6
Orgeon,76.7
Pennsylvania,86.6
Rhode Island,84.1
South Carolina,83.6
South Dakota,83.7
Tennessee,89.8
Texas,89.7
Utah,86
Vermont,89.1
Virginia,86.9
Washington,79.4
West Virginia,89.4
Wisconsin,88.6
Wyoming,86.2
